ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55131440104,55,131,440104,WI,Washington County,20.64259607150
55131440105,55,131,440105,WI,Washington County,41.42763726800
55131440106,55,131,440106,WI,Washington County,93.66321274360
55131440200,55,131,440200,WI,Washington County,2.47511882504
55131450103,55,131,450103,WI,Washington County,55.64407666080
55131450104,55,131,450104,WI,Washington County,54.11353877440
55131450105,55,131,450105,WI,Washington County,39.13488522600
55131450106,55,131,450106,WI,Washington County,40.40177531780
55131460101,55,131,460101,WI,Washington County,63.01687342790
55131460102,55,131,460102,WI,Washington County,31.21681257720
55131470100,55,131,470100,WI,Washington County,69.33162175280
55131470202,55,131,470202,WI,Washington County,5.10448664745
55131470203,55,131,470203,WI,Washington County,9.04114312522
55131470204,55,131,470204,WI,Washington County,10.37597721450
55133200101,55,133,200101,WI,Waukesha County,4.44285719351
55133200102,55,133,200102,WI,Waukesha County,3.94655518202
55133200103,55,133,200103,WI,Waukesha County,5.48122713560
55133200201,55,133,200201,WI,Waukesha County,5.89252960458
55133200202,55,133,200202,WI,Waukesha County,10.20515805060
55133200300,55,133,200300,WI,Waukesha County,35.24666768560
55133200400,55,133,200400,WI,Waukesha County,19.38107296130
55133200500,55,133,200500,WI,Waukesha County,7.68796815153
55133200600,55,133,200600,WI,Waukesha County,2.05795350205
55133200700,55,133,200700,WI,Waukesha County,7.48146595679
55133200801,55,133,200801,WI,Waukesha County,14.02210916990
55133200803,55,133,200803,WI,Waukesha County,9.14392450849
55133200804,55,133,200804,WI,Waukesha County,6.89911326651
55133200901,55,133,200901,WI,Waukesha County,7.74634511164
55133200902,55,133,200902,WI,Waukesha County,7.82715115791
55133201000,55,133,201000,WI,Waukesha County,8.67893066061
55133201101,55,133,201101,WI,Waukesha County,10.03895238400
55133201102,55,133,201102,WI,Waukesha County,4.95837103193
55133201201,55,133,201201,WI,Waukesha County,6.20496923820
55133201202,55,133,201202,WI,Waukesha County,9.84377130086
55133201203,55,133,201203,WI,Waukesha County,6.12262995538
55133201300,55,133,201300,WI,Waukesha County,20.42938392350
55133201402,55,133,201402,WI,Waukesha County,5.30356456373
55133201403,55,133,201403,WI,Waukesha County,5.00993642438
55133201404,55,133,201404,WI,Waukesha County,7.54410626755
55133201503,55,133,201503,WI,Waukesha County,5.28997199220
55133201504,55,133,201504,WI,Waukesha County,6.53678522745
55133201505,55,133,201505,WI,Waukesha County,6.24696760914
55133201506,55,133,201506,WI,Waukesha County,12.61439131890
55133201600,55,133,201600,WI,Waukesha County,34.01581718970
55133201701,55,133,201701,WI,Waukesha County,6.76836124125
55133201703,55,133,201703,WI,Waukesha County,6.84530203958
55133201704,55,133,201704,WI,Waukesha County,23.64773613150
55133201800,55,133,201800,WI,Waukesha County,4.99119127866
55133201900,55,133,201900,WI,Waukesha County,46.46366265490
55133202001,55,133,202001,WI,Waukesha County,54.58311499370
55133202002,55,133,202002,WI,Waukesha County,38.68290932970
55133202101,55,133,202101,WI,Waukesha County,17.33886753420
55133202102,55,133,202102,WI,Waukesha County,19.28188829170
55133202103,55,133,202103,WI,Waukesha County,14.68404819480
55133202201,55,133,202201,WI,Waukesha County,5.43035234946
55133202202,55,133,202202,WI,Waukesha County,3.18167864038
55133202301,55,133,202301,WI,Waukesha County,7.30008006597
55133202302,55,133,202302,WI,Waukesha County,5.59074935144
55133202400,55,133,202400,WI,Waukesha County,3.31799084169
55133202500,55,133,202500,WI,Waukesha County,4.14437684127
55133202600,55,133,202600,WI,Waukesha County,1.23841725214
55133202700,55,133,202700,WI,Waukesha County,0.57415115148
55133202800,55,133,202800,WI,Waukesha County,2.82768076957
55133202901,55,133,202901,WI,Waukesha County,5.32658479922
55133202902,55,133,202902,WI,Waukesha County,4.79143779154
55133203000,55,133,203000,WI,Waukesha County,9.65729475882
55133203101,55,133,203101,WI,Waukesha County,5.71549184258
55133203102,55,133,203102,WI,Waukesha County,8.72893690281
55133203103,55,133,203103,WI,Waukesha County,2.23825533870
55133203200,55,133,203200,WI,Waukesha County,20.89513144280
55133203303,55,133,203303,WI,Waukesha County,12.51537707650
55133203304,55,133,203304,WI,Waukesha County,17.76992730360
55133203305,55,133,203305,WI,Waukesha County,11.85634566480
55133203306,55,133,203306,WI,Waukesha County,15.44716084860
55133203402,55,133,203402,WI,Waukesha County,6.67681145830
55133203403,55,133,203403,WI,Waukesha County,14.61961164380
55133203404,55,133,203404,WI,Waukesha County,8.41092031250
55133203405,55,133,203405,WI,Waukesha County,13.68254930700
55133203406,55,133,203406,WI,Waukesha County,50.44553549170
55133203500,55,133,203500,WI,Waukesha County,62.99998368250
55133203601,55,133,203601,WI,Waukesha County,8.71601567841
55133203602,55,133,203602,WI,Waukesha County,7.81261058178
55133203702,55,133,203702,WI,Waukesha County,39.14352123280
55133203703,55,133,203703,WI,Waukesha County,13.87830491690
55133203704,55,133,203704,WI,Waukesha County,19.51372902100
55133203802,55,133,203802,WI,Waukesha County,64.07670326840
55133203803,55,133,203803,WI,Waukesha County,31.47817305350
55133203804,55,133,203804,WI,Waukesha County,53.41556101420
55133203901,55,133,203901,WI,Waukesha County,15.35702798510
55133203902,55,133,203902,WI,Waukesha County,11.07806197860
55133204002,55,133,204002,WI,Waukesha County,94.39799187870
55133204003,55,133,204003,WI,Waukesha County,34.61794610200
55133204004,55,133,204004,WI,Waukesha County,80.05154872730
55133204100,55,133,204100,WI,Waukesha County,69.51270185330
55133204200,55,133,204200,WI,Waukesha County,13.82876176450
55133204301,55,133,204301,WI,Waukesha County,12.79309570430
55133204302,55,133,204302,WI,Waukesha County,6.35332305856
55133204400,55,133,204400,WI,Waukesha County,11.20282329940
55133204501,55,133,204501,WI,Waukesha County,62.53410926910
55133204502,55,133,204502,WI,Waukesha County,18.79327325410
